election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010310,São Lourenço do Bairro,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,9,0.77,NA,NA,NA,NA
AUT25,2025-10-12,010312,Vila Nova de Monsarros,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,566,66.35,NA,NA,NA,NA
AUT25,2025-10-12,010312,Vila Nova de Monsarros,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,181,21.22,NA,NA,NA,NA
AUT25,2025-10-12,010312,Vila Nova de Monsarros,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,67,7.85,NA,NA,NA,NA
AUT25,2025-10-12,010312,Vila Nova de Monsarros,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,10,1.17,NA,NA,NA,NA
AUT25,2025-10-12,010313,Vilarinho do Bairro,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,919,64,NA,NA,NA,NA
AUT25,2025-10-12,010313,Vilarinho do Bairro,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,248,17.27,NA,NA,NA,NA
AUT25,2025-10-12,010313,Vilarinho do Bairro,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,163,11.35,NA,NA,NA,NA
AUT25,2025-10-12,010313,Vilarinho do Bairro,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,17,1.18,NA,NA,NA,NA
AUT25,2025-10-12,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,891,60.74,NA,NA,NA,NA
AUT25,2025-10-12,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,331,22.56,NA,NA,NA,NA
AUT25,2025-10-12,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,151,10.29,NA,NA,NA,NA
AUT25,2025-10-12,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,16,1.09,NA,NA,NA,NA
AUT25,2025-10-12,010317,Arcos e Mogofores,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,1708,56.46,NA,NA,NA,NA
AUT25,2025-10-12,010317,Arcos e Mogofores,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,732,24.2,NA,NA,NA,NA
AUT25,2025-10-12,010317,Arcos e Mogofores,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,320,10.58,NA,NA,NA,NA
AUT25,2025-10-12,010317,Arcos e Mogofores,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,108,3.57,NA,NA,NA,NA
AUT25,2025-10-12,010318,"Tamengos, Aguim e Óis do Bairro",Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,760,44.39,NA,NA,NA,NA
AUT25,2025-10-12,010318,"Tamengos, Aguim e Óis do Bairro",Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,566,33.06,NA,NA,NA,NA
AUT25,2025-10-12,010318,"Tamengos, Aguim e Óis do Bairro",Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,249,14.54,NA,NA,NA,NA
